상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일
5560349597,,스마트스토어,Y,여성빈티지모자 햇빛차단모자 여름 바캉스 라피아햇 벙거지,N,-,판매중,전시중,49995,10500,8900,1600원,,8900,1600원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,수량별,선결제,2700,2700,5400,N,Y,-,패션잡화,모자,사파리모자,,도매큐,도매큐,,빈티지수술버킷햇,,N,N,N,http://domeggook.com/10612944,,,http://shop1.phinf.naver.net/20210501_201/1619866811746joVo1_JPEG/21002595459020887_1163764601.jpg,,,,2021-05-01 20:05:00,2021-06-23 21:20:34
5560336638,,스마트스토어,Y,여성밀짚모자 햇빛차단모자 여름 바캉스 라피아햇 벙거지,N,-,판매중,전시중,40,11500,9900,1600원,,9900,1600원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,수량별,선결제,2700,2700,5400,N,Y,-,패션잡화,모자,사파리모자,,도매큐,도매큐,,리본 레이스 밀짚모자,,N,N,N,http://domeggook.com/10612471,,,http://shop1.phinf.naver.net/20210501_2/1619865741813iIkAD_JPEG/21001640513579128_107032188.JPG,,,,2021-05-01 19:47:31,2021-06-23 21:22:41
5560328071,,스마트스토어,Y,펀칭 밀짚모자/여름 여성버킷햇 햇빛차단모자 바캉스 라피아햇 벙거지,N,-,판매중,전시중,79,11500,9900,1600원,,9900,1600원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,수량별,선결제,2700,2700,5400,N,Y,-,패션잡화,모자,사파리모자,,도매큐,도매큐,,벨크로버킷햇,,N,N,N,http://domeggook.com/10612993,,,http://shop1.phinf.naver.net/20210501_65/1619865251699cGqkD_JPEG/21001085517473802_860760682.jpg,,,,2021-05-01 19:37:09,2021-06-23 21:22:53
5560306634,,스마트스토어,Y,벨크로 여름 여성버킷햇 햇빛차단모자 바캉스 라피아햇 벙거지,N,-,판매중,전시중,49995,11500,9900,1600원,,9900,1600원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,수량별,선결제,2700,2700,5400,N,Y,-,패션잡화,모자,사파리모자,,도매큐,도매큐,,벨크로버킷햇,,N,N,N,http://domeggook.com/10620103,,,http://shop1.phinf.naver.net/20210501_117/1619863607838dk3fv_JPEG/20999453542409808_1136848161.jpg,,,,2021-05-01 19:25:09,2021-06-23 21:23:16
5545962933,,스마트스토어,Y,3M 새니타이저 베이직겔 펌프 손소독제 후레시 알로에 그린 500ml 식당 손세정제,N,-,판매중,전시중,999,15350,11850,3500원,,11850,3500원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,생활/건강,생활용품,세제/세정제,손소독제,엘시시,3M,1463,3M 새니타이져 펌프 손소독제,,N,N,N,http://domeggook.com/13120083,대통유통 - 010-6352-6494,,http://shop1.phinf.naver.net/20210425_123/16192796942423jX45_JPEG/20415589969077014_752254187.jpg,,,,2021-04-25 01:28:37,2021-06-23 21:23:47
5545949009,,스마트스토어,Y,유한양행 해피홈 핸드워시 250ml 청결 물비누 손 세정제 그린샤워향 무향 핑크포레향,N,-,판매중,전시중,2997,9950,7550,2400원,,7550,2400원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,화장품/미용,바디케어,핸드케어,,지본코스메틱,해피홈,196825,SW7AA806,,N,N,N,http://domeggook.com/12090242,엠마트 - 010-7689-9731,,http://shop1.phinf.naver.net/20210425_276/1619280486656Om6yp_JPEG/20416332363901106_2100028656.jpg,,,,2021-04-25 01:20:44,2021-06-23 21:24:05
5545795242,,스마트스토어,Y,향기나는 손소독제 40ml 휴대용 손소독제 향수 4가지 타입 향 세니타이저 미스트,N,-,판매중,전시중,234,8250,6250,2000원,,6250,2000원,,Y,N,Y,2,,,,1.0%,30,30,30,30,0,,,,유료,선결제,2500,2500,5000,N,Y,-,생활/건강,생활용품,세제/세정제,손소독제,새잎,새잎,,세니타이저 미스트,,N,N,N,http://domeggook.com/12871458,라이프인터내셔널  - 010-9070-2297,,http://shop1.phinf.naver.net/20210424_99/1619273483242dUhKP_JPEG/20409318066638198_5992308.jpg,,,,2021-04-24 23:29:54,2021-06-23 21:24:24
5539909082,,스마트스토어,Y,무선 접이식 4단 선풍기 폴더블 써큘레이터 세척편리 캠핑 휴대용 보조배터리 화이트 핑크,N,-,판매중,전시중,1798,109000,94500,14500원,,94500,14500원,,Y,N,Y,,,,,1.0%,30,30,30,30,0,,,,구간별,선결제,3000,3000,6000,N,Y,-,디지털/가전,계절가전,선풍기,휴대용선풍기,헤론티아,헤론티아,258412,SW7039FA,,N,N,Y,http://domeggook.com/13741133,01049400477,,http://shop1.phinf.naver.net/20210422_233/1619019005022ux3M3_JPEG/20154847370918109_485631241.jpg,,,,2021-04-22 00:47:08,2021-06-23 21:25:17
5537513883,,스마트스토어,Y,크루거 와플메이커 샌드위치 크로플 붕어빵 와플만들기 쉽고 간편한 간식제조기,N,-,판매중,전시중,499,54000,40900,13100원,,40900,13100원,,N,N,Y,,,,,1.0%,30,30,30,30,0,,,,유료,선결제,3000,3000,6000,N,Y,-,디지털/가전,주방가전,와플제조기,,유니맥스이엔엘,크루거,14292,KR-WM733W,,N,N,Y,http://domeggook.com/12700681,크루거 와플메이커,,http://shop1.phinf.naver.net/20210420_221/1618927190298b04w3_JPEG/20063088993411734_1890410140.jpg,,,,2021-04-20 23:34:37,2021-06-23 21:27:59
5537470850,,스마트스토어,Y,와플팬 크로플 만들기 사각와플 메이커 가스불전용,N,-,판매중,전시중,351,22000,16500,5500원,,16500,5500원,,N,N,N,,,,,1.0%,30,30,30,30,0,,,,수량별,선결제,3000,3000,6000,N,Y,-,생활/건강,주방용품,제과/제빵용품,와플팬,성하무역,성하무역,,해당없음,,N,N,N,http://domeggook.com/9590048,사각 와플팬,,http://shop1.phinf.naver.net/20210420_18/1618926833448mPiek_JPEG/20062722143568917_193141997.JPG,,,,2021-04-20 23:07:43,2021-06-23 21:18:04
